name,country,qs_rank,ti_rank,sh_rank,rank,iso2,region,continent,invRank,intRank,rankGroup,keylocation
University of Strathclyde,UK,277,,,277,GB,Northern Europe,Europe,0.0036101083032490976,277,200-300,loc_332
National Chiao Tung University,"Taiwan, Province of China",207,,350.5,278.75,TW,East Asia,Asia,0.003587443946188341,279,200-300,loc_333
University of South Australia,Australia,279,,,279,AU,Australia and New Zealand,Oceania,0.0035842293906810036,279,200-300,loc_334
Carlos III University of Madrid,Spain,281,,,281,ES,Southern Europe,Europe,0.0035587188612099642,281,200-300,loc_335
University of Tasmania,Australia,313,,250.5,281.75,AU,Australia and New Zealand,Oceania,0.00354924578527063,282,200-300,loc_336
Charles University in Prague,Czech Republic,314,,250.5,282.25,CZ,Eastern Europe,Europe,0.00354295837023915,282,200-300,loc_337
University College Cork,Ireland,283,,,283,IE,Northern Europe,Europe,0.0035335689045936395,283,200-300,loc_338
Victoria University of Wellington,New Zealand,219,,350.5,284.75,NZ,Australia and New Zealand,Oceania,0.003511852502194908,285,200-300,loc_339
National Cheng Kung University,"Taiwan, Province of China",222,,350.5,286.25,TW,East Asia,Asia,0.0034934497816593887,286,200-300,loc_340
"The University of Newcastle, Australia",Australia,224,,350.5,287.25,AU,Australia and New Zealand,Oceania,0.0034812880765883376,287,200-300,loc_341
University of Milan,Italy,325,,250.5,287.75,IT,Southern Europe,Europe,0.0034752389226759338,288,200-300,loc_342
The Katz School at Yeshiva University,USA,325,,250.5,287.75,US,North America,Americas,0.0034752389226759338,288,200-300,loc_343
National Taiwan Normal University,"Taiwan, Province of China",289,,,289,TW,East Asia,Asia,0.0034602076124567475,289,200-300,loc_344
Bauman Moscow State Technical University,Russian Federation,291,,,291,RU,Eastern Europe,Europe,0.003436426116838488,291,200-300,loc_345
Complutense University of Madrid,Spain,233,,350.5,291.75,ES,Southern Europe,Europe,0.003427592116538132,292,200-300,loc_346
University of Waikato,New Zealand,292,,,292,NZ,Australia and New Zealand,Oceania,0.003424657534246575,292,200-300,loc_347
Indian Institute of Technology Kanpur,India,293,,,293,IN,South Asia,Asia,0.0034129692832764505,293,200-300,loc_348
Pontificia Universidad Católica de Chile,Chile,137,,450.5,293.75,CL,South America,Americas,0.003404255319148936,294,200-300,loc_349
Saint Petersburg State University,Russian Federation,240,,350.5,295.25,RU,Eastern Europe,Europe,0.003386960203217612,295,200-300,loc_350
University of Jena,Germany,341,,250.5,295.75,DE,Western Europe,Europe,0.0033812341504649195,296,200-300,loc_351
University of Hawai'i at Mañoa,USA,341,,250.5,295.75,US,North America,Americas,0.0033812341504649195,296,200-300,loc_352
"SOAS, University of London",UK,296,,,296,GB,Northern Europe,Europe,0.0033783783783783786,296,200-300,loc_353
NUI Galway,Ireland,243,,350.5,296.75,IE,Northern Europe,Europe,0.003369839932603201,297,200-300,loc_354
Xi'an Jiaotong University,China,344,,250.5,297.25,CN,East Asia,Asia,0.00336417157275021,297,200-300,loc_355
Hong Kong Baptist University,Hong Kong,299,,,299,HK,East Asia,Asia,0.0033444816053511705,299,200-300,loc_356
University of Delaware,USA,425.5,,175.5,300.5,US,North America,Americas,0.0033277870216306157,300,300-400,loc_357
University of Iowa,USA,425.5,,175.5,300.5,US,North America,Americas,0.0033277870216306157,300,300-400,loc_358
University of Ulm,Germany,357,,250.5,303.75,DE,Western Europe,Europe,0.0032921810699588477,304,300-400,loc_359
University of Stuttgart,Germany,259,,350.5,304.75,DE,Western Europe,Europe,0.003281378178835111,305,300-400,loc_360
University of Kiel,Germany,435.5,,175.5,305.5,DE,Western Europe,Europe,0.0032733224222585926,306,300-400,loc_361
Politecnico di Torino,Italy,307,,,307,IT,Southern Europe,Europe,0.003257328990228013,307,300-400,loc_362
University of Surrey,UK,264,,350.5,307.25,GB,Northern Europe,Europe,0.0032546786004882017,307,300-400,loc_363
University of the Witwatersrand,South Africa,364,,250.5,307.25,ZA,Southern Africa,Africa,0.0032546786004882017,307,300-400,loc_364
"Birkbeck, University of London",UK,308,,,308,GB,Northern Europe,Europe,0.003246753246753247,308,300-400,loc_365
Indian Institute of Technology Kharagpur,India,308,,,308,IN,South Asia,Asia,0.003246753246753247,308,300-400,loc_366
Oregon State University,USA,445.5,,175.5,310.5,US,North America,Americas,0.00322061191626409,310,300-400,loc_367
Paris Descartes University - Sorbonne Paris Cité,France,445.5,,175.5,310.5,FR,Western Europe,Europe,0.00322061191626409,310,300-400,loc_368
King Fahd University of Petroleum and Minerals,Saudi Arabia,173,,450.5,311.75,SA,Middle East,Asia,0.0032076984763432237,312,300-400,loc_369
Dalhousie University,Canada,279,,350.5,314.75,CA,North America,Americas,0.003177124702144559,315,300-400,loc_370
Aalborg University,Denmark,379,,250.5,314.75,DK,Northern Europe,Europe,0.003177124702144559,315,300-400,loc_371
University of Montpellier,France,381,,250.5,315.75,FR,Western Europe,Europe,0.003167062549485352,316,300-400,loc_372
Massey University,New Zealand,316,,,316,NZ,Australia and New Zealand,Oceania,0.0031645569620253164,316,300-400,loc_373
Tongji University,China,316,,,316,CN,East Asia,Asia,0.0031645569620253164,316,300-400,loc_374
TU Wien,Austria,182,,450.5,316.25,AT,Western Europe,Europe,0.0031620553359683794,316,300-400,loc_375
Universidade Estadual de Campinas,Brazil,182,,450.5,316.25,BR,South America,Americas,0.0031620553359683794,316,300-400,loc_376
Stony Brook University,USA,382,,250.5,316.25,US,North America,Americas,0.0031620553359683794,316,300-400,loc_377
"University at Buffalo, The State University of New York",USA,318,,,318,US,North America,Americas,0.0031446540880503146,318,300-400,loc_378
University of Missouri–Kansas City,USA,386,,250.5,318.25,US,North America,Americas,0.003142183817753339,318,300-400,loc_379
Lincoln University,New Zealand,319,,,319,NZ,Australia and New Zealand,Oceania,0.003134796238244514,319,300-400,loc_380
Tomsk State University,Russian Federation,323,,,323,RU,Eastern Europe,Europe,0.0030959752321981426,323,300-400,loc_381
Johannes Gutenberg University Mainz,Germany,398,,250.5,324.25,DE,Western Europe,Europe,0.0030840400925212026,324,300-400,loc_382
University of Porto,Portugal,301,,350.5,325.75,PT,Southern Europe,Europe,0.0030698388334612432,326,300-400,loc_383
Ruhr University Bochum,Germany,405.5,,250.5,328,DE,Western Europe,Europe,0.003048780487804878,328,300-400,loc_384
National Yang-Ming University,"Taiwan, Province of China",329,,,329,TW,East Asia,Asia,0.00303951367781155,329,300-400,loc_385
Ecole Normale Supérieure de Cachan,France,330,,,330,FR,Western Europe,Europe,0.0030303030303030303,330,300-400,loc_386
Federal University of Rio de Janeiro,Brazil,311,,350.5,330.75,BR,South America,Americas,0.0030234315948601664,331,300-400,loc_387
Institut Teknologi Bandung,Indonesia,331,,,331,ID,South East Asia,Asia,0.0030211480362537764,331,300-400,loc_388
Southern University of Chile,Argentina,331,,,331,AR,South America,Americas,0.0030211480362537764,331,300-400,loc_389
University of Canterbury,New Zealand,214,,450.5,332.25,NZ,Australia and New Zealand,Oceania,0.0030097817908201654,332,300-400,loc_390
University of Tartu,Estonia,314,,350.5,332.25,EE,Northern Europe,Europe,0.0030097817908201654,332,300-400,loc_391
Belarusian State University,Belarus,334,,,334,BY,Eastern Europe,Europe,0.0029940119760479044,334,300-400,loc_392
Mahidol University,Thailand,334,,,334,TH,South East Asia,Asia,0.0029940119760479044,334,300-400,loc_393
University of Liège,Belgium,319,,350.5,334.75,BE,Western Europe,Europe,0.002987303958177745,335,300-400,loc_394
L.N. Gumilyov Eurasian National University,Kazakhstan,336,,,336,KZ,Central Asia,Asia,0.002976190476190476,336,300-400,loc_395
Hiroshima University,Japan,322,,350.5,336.25,JP,East Asia,Asia,0.002973977695167286,336,300-400,loc_396
University of Belgrano,Argentina,337,,,337,AR,South America,Americas,0.002967359050445104,337,300-400,loc_397
Griffith University,Australia,325,,350.5,337.75,AU,Australia and New Zealand,Oceania,0.0029607698001480384,338,300-400,loc_398
The University of Georgia,USA,425.5,,250.5,338,US,North America,Americas,0.0029585798816568047,338,300-400,loc_399
University of Pisa,Italy,425.5,,250.5,338,IT,Southern Europe,Europe,0.0029585798816568047,338,300-400,loc_400
University of Texas at Dallas,USA,425.5,,250.5,338,US,North America,Americas,0.0029585798816568047,338,300-400,loc_401
Boston College,USA,339,,,339,US,North America,Americas,0.0029498525073746312,339,300-400,loc_402
Gwangju Institute of Science and Technology,Republic of Korea,339,,,339,KR,East Asia,Asia,0.0029498525073746312,339,300-400,loc_403
"City, University of London",UK,343,,,343,GB,Northern Europe,Europe,0.0029154518950437317,343,300-400,loc_404
Florida State University,USA,435.5,,250.5,343,US,North America,Americas,0.0029154518950437317,343,300-400,loc_405
Umeå University,Sweden,338,,350.5,344.25,SE,Northern Europe,Europe,0.002904865649963689,344,300-400,loc_406
University of Essex,UK,347,,,347,GB,Northern Europe,Europe,0.002881844380403458,347,300-400,loc_407
Nankai University,China,344,,350.5,347.25,CN,East Asia,Asia,0.0028797696184305254,347,300-400,loc_408
Chulalongkorn University,Thailand,245,,450.5,347.75,TH,South East Asia,Asia,0.002875629043853343,348,300-400,loc_409
Simon Fraser University,Canada,245,,450.5,347.75,CA,North America,Americas,0.002875629043853343,348,300-400,loc_410
University of Victoria,Canada,346,,350.5,348.25,CA,North America,Americas,0.002871500358937545,348,300-400,loc_411
RMIT University,Australia,247,,450.5,348.75,AU,Australia and New Zealand,Oceania,0.002867383512544803,349,300-400,loc_412
Qatar University,Qatar,349,,,349,QA,Middle East,Asia,0.0028653295128939827,349,300-400,loc_413
Universiti Brunei Darussalam,Brunei Darussalam,349,,,349,BN,South East Asia,Asia,0.0028653295128939827,349,300-400,loc_414
Novosibirsk State University,Russian Federation,250,,450.5,350.25,RU,Eastern Europe,Europe,0.0028551034975017845,350,300-400,loc_415
University of Cincinnati,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_416
University of Pavia,Italy,,,350.5,350.5,IT,Southern Europe,Europe,0.0028530670470756064,350,300-400,loc_417
University of South Carolina,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_418
Temple University,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_419
University of Vermont,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_420
University of Manitoba,Canada,,,350.5,350.5,CA,North America,Americas,0.0028530670470756064,350,300-400,loc_421
University of Milan-Bicocca,Italy,,,350.5,350.5,IT,Southern Europe,Europe,0.0028530670470756064,350,300-400,loc_422
Saint Louis University,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_423
Tongji University,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_424
Western Sydney University,Australia,,,350.5,350.5,AU,Australia and New Zealand,Oceania,0.0028530670470756064,350,300-400,loc_425
Beihang University,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_426
Boston College,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_427
Brigham Young University,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_428
Capital Medical University,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_429
Central South University,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_430
Chang Gung University,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_431
Chiba University,Japan,,,350.5,350.5,JP,East Asia,Asia,0.0028530670470756064,350,300-400,loc_432
China University of Geosciences (Wuhan),China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_433
Dalian University of Technology,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_434
East China University of Science and Technology,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_435
ESPCI ParisTech,France,,,350.5,350.5,FR,Western Europe,Europe,0.0028530670470756064,350,300-400,loc_436
Hannover Medical School,Germany,,,350.5,350.5,DE,Western Europe,Europe,0.0028530670470756064,350,300-400,loc_437
Hunan University,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_438
Indiana University – Purdue University Indianapolis,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_439
Lanzhou University,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_440
Louisiana State University,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_441
National and Kapodistrian University of Athens,Greece,,,350.5,350.5,GR,Southern Europe,Europe,0.0028530670470756064,350,300-400,loc_442
Ocean University of China,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_443
Okayama University,Japan,,,350.5,350.5,JP,East Asia,Asia,0.0028530670470756064,350,300-400,loc_444
Shandong University,China,,,350.5,350.5,CN,East Asia,Asia,0.0028530670470756064,350,300-400,loc_445
The University of Texas Health Science Center at Houston,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_446
University of Central Florida,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_447
University of Duesseldorf,Germany,,,350.5,350.5,DE,Western Europe,Europe,0.0028530670470756064,350,300-400,loc_448
University of Kentucky,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_449
University of North Texas,USA,,,350.5,350.5,US,North America,Americas,0.0028530670470756064,350,300-400,loc_450
University of Santiago de Compostela,Spain,,,350.5,350.5,ES,Southern Europe,Europe,0.0028530670470756064,350,300-400,loc_451
University of Tehran,Iran (Islamic Republic of),,,350.5,350.5,IR,South Asia,Asia,0.0028530670470756064,350,300-400,loc_452
Toulouse 1 University Capitole,France,,,350.5,350.5,FR,Western Europe,Europe,0.0028530670470756064,350,300-400,loc_453
George Washington University,USA,352,,350.5,351.25,US,North America,Americas,0.0028469750889679717,351,300-400,loc_454
"Université Paris-Dauphine, PSL Research University",France,355,,350.5,352.75,FR,Western Europe,Europe,0.002834868887313962,353,300-400,loc_455
University of Tennessee,USA,455.5,,250.5,353,US,North America,Americas,0.0028328611898017,353,300-400,loc_456
Kyung Hee University,Republic of Korea,256,,450.5,353.25,KR,East Asia,Asia,0.0028308563340410475,353,300-400,loc_457
Moscow Institute of Physics and Technology,Russian Federation,355,,,355,RU,Eastern Europe,Europe,0.0028169014084507044,355,300-400,loc_458
La Trobe University,Australia,360,,350.5,355.25,AU,Australia and New Zealand,Oceania,0.0028149190710767065,355,300-400,loc_459
University of Jyväskylä,Finland,357,,,357,FI,Northern Europe,Europe,0.0028011204481792717,357,300-400,loc_460
University of Science Malaysia,Malaysia,264,,450.5,357.25,MY,South East Asia,Asia,0.0027991602519244225,357,300-400,loc_461
James Cook University,Australia,367,,350.5,358.75,AU,Australia and New Zealand,Oceania,0.0027874564459930314,359,300-400,loc_462
Virginia Tech,USA,367,,350.5,358.75,US,North America,Americas,0.0027874564459930314,359,300-400,loc_463
Oxford Brookes University,UK,361,,,361,GB,Northern Europe,Europe,0.002770083102493075,361,300-400,loc_464
Universidade Nova de Lisboa,Portugal,361,,,361,PT,Southern Europe,Europe,0.002770083102493075,361,300-400,loc_465
Technische Universität Darmstadt,Germany,272,,450.5,361.25,DE,Western Europe,Europe,0.002768166089965398,361,300-400,loc_466
Huazhong University of Science and Technology,China,475.5,,250.5,363,CN,East Asia,Asia,0.0027548209366391185,363,300-400,loc_467
Iowa State University,USA,475.5,,250.5,363,US,North America,Americas,0.0027548209366391185,363,300-400,loc_468
University of Turku,Finland,276,,450.5,363.25,FI,Northern Europe,Europe,0.0027529249827942187,363,300-400,loc_469
Pontifical Catholic University of Argentina,Argentina,364,,,364,AR,South America,Americas,0.0027472527472527475,364,300-400,loc_470
Rensselaer Polytechnic Institute,USA,364,,,364,US,North America,Americas,0.0027472527472527475,364,300-400,loc_471
Laval University,Canada,378,,350.5,364.25,CA,North America,Americas,0.002745367192862045,364,300-400,loc_472
Tokyo Medical and Dental University,Japan,367,,,367,JP,East Asia,Asia,0.0027247956403269754,367,300-400,loc_473
University of the Philippines,Philippines,367,,,367,PH,South East Asia,Asia,0.0027247956403269754,367,300-400,loc_474
University of Tromsø,Norway,367,,,367,NO,Northern Europe,Europe,0.0027247956403269754,367,300-400,loc_475
University of Southern Denmark,Denmark,384,,350.5,367.25,DK,Northern Europe,Europe,0.002722940776038121,367,300-400,loc_476
Colorado State University,USA,485.5,,250.5,368,US,North America,Americas,0.002717391304347826,368,300-400,loc_477
University of St.Gallen,Switzerland,372,,,372,CH,Western Europe,Europe,0.002688172043010753,372,300-400,loc_478
University of Colorado Denver,USA,394,,350.5,372.25,US,North America,Americas,0.002686366689053056,372,300-400,loc_479
Aston University,UK,373,,,373,GB,Northern Europe,Europe,0.002680965147453083,373,300-400,loc_480
Moscow State Institute of International Relations,Russian Federation,373,,,373,RU,Eastern Europe,Europe,0.002680965147453083,373,300-400,loc_481
National Research Nuclear University,Russian Federation,373,,,373,RU,Eastern Europe,Europe,0.002680965147453083,373,300-400,loc_482
University of Kent,UK,373,,,373,GB,Northern Europe,Europe,0.002680965147453083,373,300-400,loc_483
Ewha Womans University,Republic of Korea,299,,450.5,374.75,KR,East Asia,Asia,0.00266844563042028,375,300-400,loc_484
Tampere University of Technology,Finland,380,,,380,FI,Northern Europe,Europe,0.002631578947368421,380,300-400,loc_485
Heriot-Watt University,UK,312,,450.5,381.25,GB,Northern Europe,Europe,0.002622950819672131,381,300-400,loc_486
National Research University – Higher School of Economics,Russian Federation,382,,,382,RU,Eastern Europe,Europe,0.002617801047120419,382,300-400,loc_487
Brandeis University,USA,415.5,,350.5,383,US,North America,Americas,0.0026109660574412533,383,300-400,loc_488
University of Warsaw,Poland,415.5,,350.5,383,PL,Eastern Europe,Europe,0.0026109660574412533,383,300-400,loc_489
National Research Tomsk Polytechnic University,Russian Federation,386,,,386,RU,Eastern Europe,Europe,0.0025906735751295338,386,300-400,loc_490
National Sun Yat-sen University,"Taiwan, Province of China",388,,,388,TW,East Asia,Asia,0.002577319587628866,388,300-400,loc_491
Swinburne University of Technology,Australia,425.5,,350.5,388,AU,Australia and New Zealand,Oceania,0.002577319587628866,388,300-400,loc_492
University of Connecticut,USA,425.5,,350.5,388,US,North America,Americas,0.002577319587628866,388,300-400,loc_493
United Arab Emirates University,United Arab Emirates,390,,,390,AE,Middle East,Asia,0.002564102564102564,390,300-400,loc_494
Dublin City University,Ireland,391,,,391,IE,Northern Europe,Europe,0.0025575447570332483,391,300-400,loc_495
National Central University,"Taiwan, Province of China",391,,,391,TW,East Asia,Asia,0.0025575447570332483,391,300-400,loc_496
Xiamen University,China,435.5,,350.5,393,CN,East Asia,Asia,0.002544529262086514,393,300-400,loc_497
The American University in Cairo,Egypt,395,,,395,EG,North Africa,Africa,0.002531645569620253,395,300-400,loc_498
Illinois Institute of Technology,USA,395,,,395,US,North America,Americas,0.002531645569620253,395,300-400,loc_499
HUFS - Hankuk (Korea) University of Foreign Studies,Republic of Korea,397,,,397,KR,East Asia,Asia,0.0025188916876574307,397,300-400,loc_500
