name,country,qs_rank,ti_rank,sh_rank,lon,lat,rank,iso2,region,continent,invRank,intRank,rankGroup
Stanford University,USA,2,3,2,-122.169719,37.4274745,2.3333333333333335,US,North America,Americas,0.42857142857142855,2, 0-50
Massachusetts Institute of Technology,USA,1,5,4,-71.09416,42.360091,3.3333333333333335,US,North America,Americas,0.3,3, 0-50
Harvard University,USA,3,6,1,-71.1166601,42.3770029,3.3333333333333335,US,North America,Americas,0.3,3, 0-50
University of Cambridge,UK,5,2,3,0.1149085,52.2042666,3.3333333333333335,GB,Northern Europe,Europe,0.3,3, 0-50
University of Oxford,UK,6,1,7,-1.2543668,51.7548164,4.666666666666667,GB,Northern Europe,Europe,0.21428571428571427,5, 0-50
California Institute of Technology,USA,4,3,9,-118.125269,34.1376576,5.333333333333333,US,North America,Americas,0.1875,5, 0-50
Princeton University,USA,13,7,6,-74.6514481,40.3439888,8.666666666666666,US,North America,Americas,0.11538461538461539,9, 0-50
University of Chicago,USA,9,9,10,-87.5987133,41.7886079,9.333333333333334,US,North America,Americas,0.10714285714285714,9, 0-50
UCL,UK,7,16,16,-0.1340401,51.5245592,13,GB,Northern Europe,Europe,0.07692307692307693,13, 0-50
ETH Zurich,Switzerland,10,10,19,8.5476699,47.376313,13,CH,Western Europe,Europe,0.07692307692307693,13, 0-50
Yale University,USA,16,12,11,-72.9223431,41.3163244,13,US,North America,Americas,0.07692307692307693,13, 0-50
Columbia University,USA,18,14,8,-73.9625727,40.8075355,13.333333333333334,US,North America,Americas,0.075,13, 0-50
Imperial College London,UK,8,8,27,-0.1748772,51.4987997,14.333333333333334,GB,Northern Europe,Europe,0.06976744186046512,14, 0-50
University of Pennsylvania,USA,19,10,17,-75.1932137,39.9522188,15.333333333333334,US,North America,Americas,0.06521739130434782,15, 0-50
Cornell University,USA,14,19,14,-76.4735027,42.4534492,15.666666666666666,US,North America,Americas,0.06382978723404256,16, 0-50
Johns Hopkins University,USA,17,13,18,-76.6205177,39.3299013,16,US,North America,Americas,0.0625,16, 0-50
"University of California, Berkeley",USA,27,18,5,-122.2585399,37.8718992,16.666666666666668,US,North America,Americas,0.06,17, 0-50
"University of California, Los Angeles",USA,33,15,12,-118.4451811,34.068921,20,US,North America,Americas,0.05,20, 0-50
"University of California, San Francisco",USA,-,-,21,-122.4482377,37.7859895,21,US,North America,Americas,0.047619047619047616,21, 0-50
Duke University,USA,21,17,26,-78.9382286,36.0014258,21.333333333333332,US,North America,Americas,0.046875,21, 0-50
University of Michigan,USA,21,21,24,-83.7382241,42.2780436,22,US,North America,Americas,0.045454545454545456,22, 0-50
Northwestern University,USA,28,20,22,-87.675267,42.0564594,23.333333333333332,US,North America,Americas,0.04285714285714286,23, 0-50
University of Toronto,Canada,31,22,23,-79.3956564,43.6628917,25.333333333333332,CA,North America,Americas,0.03947368421052632,25, 0-50
University of Edinburgh,UK,23,27,32,-3.1892413,55.9445158,27.333333333333332,GB,Northern Europe,Europe,0.03658536585365854,27, 0-50
"University of California, San Diego",USA,38,31,15,-117.2340135,32.8800604,28,US,North America,Americas,0.03571428571428571,28, 0-50
University of Tokyo,Japan,28,46,24,139.761989,35.7126775,32.666666666666664,JP,East Asia,Asia,0.030612244897959186,33, 0-50
The University of Hong Kong,Hong Kong,26,40,-,114.1370848,22.2829989,33,HK,East Asia,Asia,0.030303030303030304,33, 0-50
University of Washington,USA,61,25,13,-122.3035199,47.6553351,33,US,North America,Americas,0.030303030303030304,33, 0-50
Tsinghua University,China,25,30,48,116.3264439,39.9996674,34.333333333333336,CN,East Asia,Asia,0.029126213592233007,34, 0-50
King's College London,UK,23,36,46,-0.115997,51.5114864,35,GB,Northern Europe,Europe,0.02857142857142857,35, 0-50
The Rockefeller University,USA,-,-,36,-73.9556889,40.7625706,36,US,North America,Americas,0.027777777777777776,36, 0-50
New York University,USA,52,27,29,-73.9964609,40.7295134,36,US,North America,Americas,0.027777777777777776,36, 0-50
University of Melbourne,Australia,41,32,39,144.9611738,-37.7963689,37.333333333333336,AU,Australia and New Zealand,Oceania,0.026785714285714284,37, 0-50
University of British Columbia,Canada,51,34,31,-123.2459938,49.2606052,38.666666666666664,CA,North America,Americas,0.025862068965517244,39, 0-50
Karolinska Institutet,Sweden,-,38,44,18.0236579,59.3481484,41,SE,Northern Europe,Europe,0.024390243902439025,41, 0-50
École polytechnique fédérale de Lausanne,Switzerland,12,38,76,6.5667576,46.5190557,42,CH,Western Europe,Europe,0.023809523809523808,42, 0-50
University of Manchester,UK,34,54,38,-2.2338837,53.4668498,42,GB,Northern Europe,Europe,0.023809523809523808,42, 0-50
University of Wisconsin–Madison,USA,55,43,28,-89.4124875,43.076592,42,US,North America,Americas,0.023809523809523808,42, 0-50
National University of Singapore,Singapore,15,22,91,103.7763939,1.2966426,42.666666666666664,SG,South East Asia,Asia,0.0234375,43, 0-50
Peking University,China,38,27,71,116.3058739,39.986913,45.333333333333336,CN,East Asia,Asia,0.022058823529411763,45, 0-50
McGill University,Canada,32,42,67,-73.5771511,45.5047847,47,CA,North America,Americas,0.02127659574468085,47, 0-50
University of Illinois at Urbana–Champaign,USA,69,37,37,-88.2271615,40.1019523,47.666666666666664,US,North America,Americas,0.02097902097902098,48, 0-50
The University of Texas Southwestern Medical Center at Dallas,USA,-,-,48,-96.8439894,32.8156603,48,US,North America,Americas,0.020833333333333332,48, 0-50
Kyoto University,Japan,36,74,35,135.7808218,35.0262444,48.333333333333336,JP,East Asia,Asia,0.020689655172413793,48, 0-50
Carnegie Mellon University,USA,47,24,80,-79.9430128,40.4428081,50.333333333333336,US,North America,Americas,0.01986754966887417,50, 50-100
Technical University of Munich,Germany,64,41,50,11.5678602,48.14966,51.666666666666664,DE,Western Europe,Europe,0.01935483870967742,52, 50-100
Heidelberg University,Germany,68,45,42,8.6702492,49.4191402,51.666666666666664,DE,Western Europe,Europe,0.01935483870967742,52, 50-100
Ludwig Maximilian University of Munich,Germany,66,34,57,11.58043,48.150806,52.333333333333336,DE,Western Europe,Europe,0.01910828025477707,52, 50-100
Australian National University,Australia,20,48,97,149.118527,-35.2776999,55,AU,Australia and New Zealand,Oceania,0.01818181818181818,55, 50-100
University of Queensland,Australia,47,65,55,153.0120301,-27.4954306,55.666666666666664,AU,Australia and New Zealand,Oceania,0.017964071856287425,56, 50-100
University of Texas at Austin,USA,67,49,51,-97.7340567,30.2849185,55.666666666666664,US,North America,Americas,0.017964071856287425,56, 50-100
"Ecole normale supérieure, Paris",France,43,-,69,2.3451689,48.8422058,56,FR,Western Europe,Europe,0.017857142857142856,56, 50-100
University of North Carolina at Chapel Hill,USA,80,56,33,-79.0469134,35.9049122,56.333333333333336,US,North America,Americas,0.01775147928994083,56, 50-100
Washington University in St. Louis,USA,100,50,20,-90.3107962,38.6487895,56.666666666666664,US,North America,Americas,0.01764705882352941,57, 50-100
University of Bristol,UK,44,76,61,-2.6029792,51.4584172,60.333333333333336,GB,Northern Europe,Europe,0.016574585635359115,60, 50-100
Georgia Institute of Technology,USA,70,33,85,-84.396285,33.7756178,62.666666666666664,US,North America,Americas,0.01595744680851064,63, 50-100
Nanyang Technological University,Singapore,11,52,125.5,103.6831347,1.3483099,62.833333333333336,SG,South East Asia,Asia,0.015915119363395226,63, 50-100
University of Sydney,Australia,50,61,83,151.1873473,-33.888584,64.66666666666667,AU,Australia and New Zealand,Oceania,0.015463917525773195,65, 50-100
KU Leuven,Belgium,71,47,90,4.7002953,50.8779545,69.33333333333333,BE,Western Europe,Europe,0.014423076923076924,69, 50-100
University of Copenhagen,Denmark,73,109,30,12.5724096,55.6802303,70.66666666666667,DK,Northern Europe,Europe,0.014150943396226414,71, 50-100
Mayo Medical School,USA,-,-,71,-92.4668474,44.0224073,71,US,North America,Americas,0.014084507042253521,71, 50-100
Paris Sciences et Lettres,France,-,72,-,2.3378212,48.8546601,72,FR,Western Europe,Europe,0.013888888888888888,72, 50-100
Monash University,Australia,60,80,78,145.1362182,-37.9105238,72.66666666666667,AU,Australia and New Zealand,Oceania,0.013761467889908256,73, 50-100
Utrecht University,Netherlands,109,68,47,5.1226018,52.0901527,74.66666666666667,NL,Western Europe,Europe,0.013392857142857142,75, 50-100
Brown University,USA,53,50,125.5,-71.4025482,41.8267718,76.16666666666667,US,North America,Americas,0.01312910284463895,76, 50-100
The Chinese University of Hong Kong,Hong Kong,46,58,125.5,114.2109318,22.4162632,76.5,HK,East Asia,Asia,0.013071895424836602,76, 50-100
Boston University,USA,81,70,80,-71.1053991,42.3504997,77,US,North America,Americas,0.012987012987012988,77, 50-100
"University of California, Santa Barbara",USA,134,53,45,-119.848947,34.4139629,77.33333333333333,US,North America,Americas,0.012931034482758622,77, 50-100
London School of Economics,UK,35,25,175.5,-0.1173766,51.5144077,78.5,GB,Northern Europe,Europe,0.012738853503184714,78, 50-100
Seoul National University,Republic of Korea,36,74,125.5,126.9519053,37.459882,78.5,KR,East Asia,Asia,0.012738853503184714,78, 50-100
Ohio State University,USA,86,70,80,-83.0309143,40.0141905,78.66666666666667,US,North America,Americas,0.01271186440677966,79, 50-100
Purdue University,USA,105,60,77,-86.9211946,40.4237054,80.66666666666667,US,North America,Americas,0.012396694214876032,81, 50-100
University of Amsterdam,Netherlands,58,59,125.5,4.9557263,52.3558182,80.83333333333333,NL,Western Europe,Europe,0.012371134020618558,81, 50-100
University of Helsinki,Finland,102,90,56,24.9510419,60.1726348,82.66666666666667,FI,Northern Europe,Europe,0.012096774193548387,83, 50-100
Rice University,USA,89,86,74,-95.4018312,29.7173941,83,US,North America,Americas,0.012048192771084338,83, 50-100
"University of Maryland, College Park",USA,129,69,53,-76.9425543,38.9869183,83.66666666666667,US,North America,Americas,0.01195219123505976,84, 50-100
University of Southern California,USA,132,66,54,-118.285117,34.0223519,84,US,North America,Americas,0.011904761904761904,84, 50-100
University of Minnesota,USA,163,56,34,-93.2277285,44.97399,84.33333333333333,US,North America,Americas,0.011857707509881424,84, 50-100
Pennsylvania State University,USA,93,77,85,-77.8599084,40.7982133,85,US,North America,Americas,0.011764705882352941,85, 50-100
University of Groningen,Netherlands,113,83,59,6.5629872,53.2192634,85,NL,Western Europe,Europe,0.011764705882352941,85, 50-100
The University of New South Wales,Australia,45,85,125.5,151.2312675,-33.917347,85.16666666666667,AU,Australia and New Zealand,Oceania,0.011741682974559686,85, 50-100
"University of California, Davis",USA,118,54,85,-121.7617125,38.5382322,85.66666666666667,US,North America,Americas,0.011673151750972763,86, 50-100
Uppsala University,Sweden,112,86,63,17.6300093,59.8509005,87,SE,Northern Europe,Europe,0.011494252873563218,87, 50-100
Leiden University,Netherlands,109,67,88,4.485209,52.1571485,88,NL,Western Europe,Europe,0.011363636363636364,88, 50-100
University of Zurich,Switzerland,73,136,58,8.5509812,47.3743221,89,CH,Western Europe,Europe,0.011235955056179775,89, 50-100
University of Glasgow,UK,65,80,125.5,-4.2882005,55.8721211,90.16666666666667,GB,Northern Europe,Europe,0.011090573012939002,90, 50-100
Humboldt University of Berlin,Germany,120,62,-,13.3936551,52.517883,91,DE,Western Europe,Europe,0.01098901098901099,91, 50-100
University of Warwick,UK,57,91,125.5,-1.5614704,52.3792525,91.16666666666667,GB,Northern Europe,Europe,0.010968921389396709,91, 50-100
Fudan University,China,40,116,125.5,121.5036178,31.2974197,93.83333333333333,CN,East Asia,Asia,0.010657193605683837,94, 50-100
Osaka University,Japan,63,-,125.5,135.5244676,34.8220139,94.25,JP,East Asia,Asia,0.010610079575596816,94, 50-100
McMaster University,Canada,140,78,66,-79.9192254,43.260879,94.66666666666667,CA,North America,Americas,0.01056338028169014,95, 50-100
University of Geneva,Switzerland,98,130,60,6.1451157,46.199444,96,CH,Western Europe,Europe,0.010416666666666666,96, 50-100
Erasmus University Rotterdam,Netherlands,147,72,73,4.525585,51.91752,97.33333333333333,NL,Western Europe,Europe,0.010273972602739727,97, 50-100
Delft University of Technology,Netherlands,54,63,175.5,4.3758659,51.9962559,97.5,NL,Western Europe,Europe,0.010256410256410256,98, 50-100
Aarhus University,Denmark,119,109,65,10.2030118,56.1681384,97.66666666666667,DK,Northern Europe,Europe,0.010238907849829351,98, 50-100
University of Paris VI: Pierre-and-Marie-Curie University,France,131,123,40,2.357499,48.8471036,98,FR,Western Europe,Europe,0.01020408163265306,98, 50-100
The University of Western Australia,Australia,93,111,91,115.8199096,-31.981179,98.33333333333333,AU,Australia and New Zealand,Oceania,0.01016949152542373,98, 50-100
Lund University,Sweden,78,93,125.5,13.203493,55.7119483,98.83333333333333,SE,Northern Europe,Europe,0.010118043844856662,99, 50-100
Nagoya University,Japan,116,-,84,136.967573,35.153491,100,JP,East Asia,Asia,0.01,100, 50-100
Ghent University,Belgium,125,107,69,3.7279181,51.0465619,100.33333333333333,BE,Western Europe,Europe,0.009966777408637875,100,100-200
Tohoku University,Japan,76,-,125.5,140.874074,38.253834,100.75,JP,East Asia,Asia,0.009925558312655087,101,100-200
University of Pittsburgh,USA,142,100,68,-79.960835,40.4443533,103.33333333333333,US,North America,Americas,0.00967741935483871,103,100-200
University of Sheffield,UK,82,104,125.5,-1.4879469,53.3809409,103.83333333333333,GB,Northern Europe,Europe,0.009630818619582666,104,100-200
Wageningen University & Research,Netherlands,124,64,125.5,5.6657696,51.9845558,104.5,NL,Western Europe,Europe,0.009569377990430622,104,100-200
Free University of Berlin,Germany,125,88,-,13.2896787,52.452526400000004,106.5,DE,Western Europe,Europe,0.009389671361502348,106,100-200
The Hong Kong University of Science and Technology,Hong Kong,30,44,250.5,114.2654655,22.3363998,108.16666666666667,HK,East Asia,Asia,0.009244992295839752,108,100-200
University of Colorado Boulder,USA,182,100,43,-105.2659417,40.007581,108.33333333333333,US,North America,Americas,0.009230769230769232,108,100-200
"University of California, Irvine",USA,164,99,64,-117.8442962,33.6404952,109,US,North America,Americas,0.009174311926605505,109,100-200
University of Alberta,Canada,90,119,125.5,-113.5263186,53.5232189,111.5,CA,North America,Americas,0.008968609865470852,112,100-200
University of Basel,Switzerland,149,95,95,7.5826,47.5602535,113,CH,Western Europe,Europe,0.008849557522123894,113,100-200
University of Southampton,UK,102,126,-,-1.3966381,50.935742,114,GB,Northern Europe,Europe,0.008771929824561403,114,100-200
University of Malaya,Malaysia,114,-,-,101.6543903,3.1201114,114,MY,South East Asia,Asia,0.008771929824561403,114,100-200
Tokyo Institute of Technology,Japan,56,-,175.5,139.6835302,35.6051229,115.75,JP,East Asia,Asia,0.008639308855291577,116,100-200
University of Oslo,Norway,142,146,62,10.7217496,59.9399586,116.66666666666667,NO,Northern Europe,Europe,0.008571428571428572,117,100-200
University of Birmingham,UK,84,141,125.5,-1.9305135,52.4508168,116.83333333333333,GB,Northern Europe,Europe,0.008559201141226819,117,100-200
University of Science and Technology of China,China,97,132,125.5,117.28059,31.821994,118.16666666666667,CN,East Asia,Asia,0.008462623413258109,118,100-200
University of Nottingham,UK,84,147,125.5,-1.1951582,52.938636,118.83333333333333,GB,Northern Europe,Europe,0.008415147265077139,119,100-200
Michigan State University,USA,149,83,125.5,-84.4821719,42.701848,119.16666666666667,US,North America,Americas,0.008391608391608392,119,100-200
University of Leeds,UK,101,139,125.5,-1.5550328,53.8066815,121.83333333333333,GB,Northern Europe,Europe,0.008207934336525308,122,100-200
University of Adelaide,Australia,109,134,125.5,138.6062277,-34.920603,122.83333333333333,AU,Australia and New Zealand,Oceania,0.00814111261872456,123,100-200
Vanderbilt University,USA,212,105,52,-86.8026551,36.1447034,123,US,North America,Americas,0.008130081300813009,123,100-200
Emory University,USA,147,98,125.5,-84.3239989,33.7925195,123.5,US,North America,Americas,0.008097165991902834,124,100-200
Shanghai Jiao Tong University,China,62,188,125.5,121.432841,31.201001,125.16666666666667,CN,East Asia,Asia,0.007989347536617843,125,100-200
Arizona State University,USA,-,-,125.5,-112.1598496,33.6075228,125.5,US,North America,Americas,0.00796812749003984,126,100-200
Baylor College of Medicine,USA,-,-,125.5,-95.396241,29.710529,125.5,US,North America,Americas,0.00796812749003984,126,100-200
Icahn School of Medicine at Mount Sinai,USA,-,-,125.5,-73.9533616,40.7898695,125.5,US,North America,Americas,0.00796812749003984,126,100-200
The University of Texas M. D. Anderson Cancer Center,USA,-,-,125.5,-95.3966904,29.7071962,125.5,US,North America,Americas,0.00796812749003984,126,100-200
Viadrina European University,Germany,-,-,125.5,14.5542827,52.342151,125.5,DE,Western Europe,Europe,0.00796812749003984,126,100-200
University of Southampton,UK,-,-,125.5,-1.3980274,50.9362861,125.5,GB,Northern Europe,Europe,0.00796812749003984,126,100-200
Weizmann Institute of Science,Israel,-,-,125.5,34.8083407,31.9045055,125.5,IL,Middle East,Asia,0.00796812749003984,126,100-200
Charité - Universitätsmedizin Berlin,Germany,-,126,-,13.3766245,52.5264618,126,DE,Western Europe,Europe,0.007936507936507936,126,100-200
University of Freiburg,Germany,171,82,125.5,7.8459496,47.9935441,126.16666666666667,DE,Western Europe,Europe,0.007926023778071334,126,100-200
Trinity College Dublin,Ireland,88,117,175.5,-6.2545716,53.3437935,126.83333333333333,IE,Northern Europe,Europe,0.007884362680683312,127,100-200
Moscow State University,Russian Federation,95,194,93,37.5286696,55.7039349,127.33333333333333,RU,Eastern Europe,Europe,0.007853403141361256,127,100-200
KAIST,Republic of Korea,41,95,250.5,127.3640249,36.3693921,128.83333333333334,KR,East Asia,Asia,0.0077619663648124185,129,100-200
University of Göttingen,Germany,181,113,95,9.9374005,51.5408116,129.66666666666666,DE,Western Europe,Europe,0.007712082262210798,130,100-200
Zhejiang University,China,87,177,125.5,120.123279,30.263944,129.83333333333334,CN,East Asia,Asia,0.007702182284980744,130,100-200
University of Bern,Switzerland,167,105,125.5,7.438119,46.9504896,132.5,CH,Western Europe,Europe,0.007547169811320755,132,100-200
Cardiff University,UK,137,162,99,-3.1788641,51.4866271,132.66666666666666,GB,Northern Europe,Europe,0.007537688442211056,133,100-200
Stockholm University,Sweden,195,134,74,18.060776,59.363154,134.33333333333334,SE,Northern Europe,Europe,0.007444168734491314,134,100-200
Hebrew University of Jerusalem,Israel,145,-,125.5,35.2414009,31.7945578,135.25,IL,Middle East,Asia,0.0073937153419593345,135,100-200
Université catholique de Louvain,Belgium,153,129,125.5,4.6155909,50.6696875,135.83333333333334,BE,Western Europe,Europe,0.007361963190184048,136,100-200
University of Florida,USA,178,143,88,-82.3549302,29.6436325,136.33333333333334,US,North America,Americas,0.007334963325183373,136,100-200
Université de Montréal,Canada,130,108,175.5,-73.6137592,45.5056156,137.83333333333334,CA,North America,Americas,0.007255139056831922,138,100-200
City University of Hong Kong,Hong Kong,49,119,250.5,114.172793,22.3371397,139.5,HK,East Asia,Asia,0.007168458781362007,140,100-200
"Queen Mary, University of London",UK,127,121,175.5,-0.0403745,51.5240671,141.16666666666666,GB,Northern Europe,Europe,0.0070838252656434475,141,100-200
University of Durham,UK,78,97,250.5,-1.5782029,54.7649859,141.83333333333334,GB,Northern Europe,Europe,0.007050528789659224,142,100-200
University of Tübingen,Germany,164,94,175.5,9.043774,48.5294782,144.5,DE,Western Europe,Europe,0.006920415224913495,144,100-200
Technical University of Denmark,Denmark,116,153,175.5,12.521381,55.7855742,148.16666666666666,DK,Northern Europe,Europe,0.006749156355455569,148,100-200
University of São Paulo,Brazil,121,-,175.5,-46.6490459,-23.5916604,148.25,BR,South America,Americas,0.006745362563237774,148,100-200
Hokkaido University,Japan,122,-,175.5,141.340013,43.0779575,148.75,JP,East Asia,Asia,0.0067226890756302525,149,100-200
National Taiwan University,"Taiwan, Province of China",76,198,175.5,121.5397518,25.0173405,149.83333333333334,TW,East Asia,Asia,0.006674082313681868,150,100-200
Radboud University Nijmegen,Netherlands,204,122,125.5,5.8568877,51.8193148,150.5,NL,Western Europe,Europe,0.006644518272425249,150,100-200
University of Virginia,USA,173,113,175.5,-78.5079772,38.0335529,153.83333333333334,US,North America,Americas,0.006500541711809317,154,100-200
University of Exeter,UK,158,130,175.5,-3.5351475,50.7371369,154.5,GB,Northern Europe,Europe,0.006472491909385114,154,100-200
University of Paris-Sud,France,242,181,41,2.1764839,48.6976847,154.66666666666666,FR,Western Europe,Europe,0.006465517241379311,155,100-200
University of Rochester,USA,186,153,125.5,-77.6260033,43.1305531,154.83333333333334,US,North America,Americas,0.006458557588805166,155,100-200
University of Bonn,Germany,239,100,125.5,7.0865227,50.7267715,154.83333333333334,DE,Western Europe,Europe,0.006458557588805166,155,100-200
Sungkyunkwan University,Republic of Korea,108,111,250.5,126.993606,37.588227,156.5,KR,East Asia,Asia,0.006389776357827476,156,100-200
RWTH Aachen University,Germany,141,79,250.5,6.0656869,50.7800778,156.83333333333334,DE,Western Europe,Europe,0.006376195536663124,157,100-200
University of Lausanne,Switzerland,146,152,175.5,6.5801606,46.5210895,157.83333333333334,CH,Western Europe,Europe,0.006335797254487856,158,100-200
University of Liverpool,UK,173,177,125.5,-2.9655722,53.405936,158.5,GB,Northern Europe,Europe,0.006309148264984227,158,100-200
Technion – Israel Institute of Technology,Israel,224,-,93,35.0231271,32.7767783,158.5,IL,Middle East,Asia,0.006309148264984227,158,100-200
Texas A&M University,USA,195,159,125.5,-96.336499,30.618531,159.83333333333334,US,North America,Americas,0.006256517205422314,160,100-200
University of Bath,UK,160,-,-,-2.3272635,51.3781162,160,GB,Northern Europe,Europe,0.00625,160,100-200
National Tsing Hua University,"Taiwan, Province of China",161,-,-,120.9932316,24.7947253,161,TW,East Asia,Asia,0.006211180124223602,161,100-200
